first_name,second_name,team_name,player_pos,minutes_played,goals_scored,goals_conceded,assists,clean_sheets,penalties_missed,penalties_saved,num_saves,own_goals,yellow_cards,red_cards,points_per_game,total_bonus_pts,total_points,bps_system,form,in_dreamteam,selected_by_percent,creativity,ict_index,influence,threat,status,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,news,news_added,current_cost,web_name,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,player_code,player_id,special,Mins_Per_90,Goals_Per_90,Assists_Per_90
Frederic,Guilbert,Aston Villa,Defender,1898,0,36,2,4,0,0,0,0,7,0,2.1,2,48,302,['form'],FALSE,0.5,225.6,71.4,431.8,55,available,100,100,0,0,-0.1,0.1,1,0,0,0,N/A,2019-12-01T19:30:19.368861Z,4.4,Guilbert,98122,0,105934,0,0,10.9,203368,458,FALSE,21.0889,0,0.0948
Mahmoud Ahmed,Ibrahim Hassan,Aston Villa,Midfielder,1315,3,23,2,3,0,0,0,0,2,1,2.4,2,58,170,['form'],FALSE,1.1,261.1,112.4,275.8,589,available,100,100,0,0,-0.3,0.3,0,0,0,0,N/A,2019-08-31T16:30:09.941826Z,5.2,Trezeguet,151457,0,288341,0,0,11.2,148508,465,FALSE,14.6111,0.2053,0.1369
Douglas Luiz,Soares de Paulo,Aston Villa,Midfielder,1711,3,40,2,5,0,0,0,0,4,0,2.7,5,71,295,['form'],FALSE,3.8,202.1,91.7,375.8,338,available,0,0,0,0,-0.1,0.1,0,0,0,0,N/A,N/A,4.4,Douglas Luiz,754468,0,570713,0,0,16.1,230046,470,FALSE,19.0111,0.1578,0.1052
Lovre,Kalinic,Aston Villa,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['form'],FALSE,0.1,0,0,0,0,not available,0,0,0,0,-0.3,0.3,0,0,0,0,Joined Toulouse on loan until the end of the season on 20/1. - Expected back 01 Jul,2020-01-20T17:00:23.372293Z,4.2,Kalinic,1763,0,5338,0,0,0,88175,474,FALSE,0,0,0
Marvelous,Nakamba,Aston Villa,Midfielder,1626,0,35,0,1,0,0,0,0,4,0,1.7,0,35,249,['form'],FALSE,0.7,156.2,45.1,271.8,24,available,100,100,0,0,-0.1,0.1,0,0,0,0,N/A,2020-01-18T19:30:18.468247Z,4.4,Nakamba,125819,0,106240,0,0,8,184704,491,FALSE,18.0667,0,0
Indiana,Vassilev,Aston Villa,Midfielder,36,0,0,0,0,0,0,0,0,0,0,1,0,2,3,['form'],FALSE,0,1.3,0.7,1.2,4,available,0,0,0,0,0,0,0,0,0,0,N/A,N/A,4.5,Vassilev,667,0,334,0,0,0.4,223349,600,FALSE,0.4,0,0
Jose,Reina,Aston Villa,Goalkeeper,540,0,13,0,0,0,1,23,0,1,0,3.2,2,19,110,['form'],FALSE,0.5,10,20.8,197.8,0,available,0,0,0,0,0,0,1,0,0,0,N/A,N/A,4.5,Reina,54875,0,18896,0,0,4.2,8432,603,FALSE,6,0,0
Mbwana,Samatta,Aston Villa,Striker,352,1,10,0,0,0,0,0,0,0,0,3.5,2,14,41,['form'],FALSE,0.2,51.1,26.3,51.4,160,available,0,0,0,0,-0.2,0.2,0,0,0,0,N/A,N/A,5.8,Samatta,34395,0,18777,0,0,2.4,217487,613,FALSE,3.9111,0.2557,0
Borja,Gonzalez Tomas,Aston Villa,Striker,16,0,2,0,0,0,0,0,0,0,0,1,0,2,5,['form'],FALSE,0,1.7,0.4,0.2,2,available,0,0,0,0,0,0,0,0,0,0,N/A,N/A,5.5,Baston,426,0,196,0,0,0.4,83091,623,FALSE,0.1778,0,0
Steve,Cook,Bournemouth,Defender,1848,1,36,0,3,0,0,0,0,4,1,2.1,5,46,311,['form'],FALSE,0.2,38.3,63.2,479.2,112,available,100,75,0,0,0,0,2,0,0,0,N/A,2020-03-07T15:00:16.074263Z,5,Steve Cook,41020,0,48041,0,0,9.2,56917,58,FALSE,20.5333,0.0487,0
Nathan,Ake,Bournemouth,Defender,2014,2,33,1,3,0,0,0,0,1,0,2.9,6,67,403,['form'],FALSE,6.5,78.6,93.3,558.4,296,available,100,100,0,0,-0.2,0.2,1,0,0,0,N/A,2020-02-22T17:30:19.367467Z,4.8,Ake,566855,0,1307751,0,0,14,126184,59,FALSE,22.3778,0.0894,0.0447
